"name";"dir";"extension";"size";"mtime_datetime";"ctime_datetime";"atime_datetime";"path_length";"path_depth";"owner"
"Customer_Contract.zip";"C:\share\Job9\Team-Azure\Team-Azure-Technologie-Softwareentwicklung";".zip";"1821696";"09.08.2025 13:08:00";"26.07.2025 06:17:00";"14.09.2025 03:46:00";"89";"5";""
"Support_Case_CASE042_Critical.zip";"C:\share\Job6\Abteilung-Service-Desk\Technologie-Network-Engineering\Qualitaetssicherung-ISO-9001-Zertifizierung-2022-Pruefberichte-Massnahmenkatalog\IT-Projekt-E-Commerce-Platform-Phase-Go-Live-Technische-Spezifikation-Production\Accounting-Hauptbuch-Debitoren-Kreditoren-Steuer-2020\Archiv-Altdaten-2023-Quartal-Q2-Migration-Bereinigung\Marketing-Material-Fruehjahrsaktion-2024-Medien-2023-Regionale-Anpassungen-Nord";".zip";"1702912";"26.07.2023 17:49:00";"23.04.2023 16:12:00";"04.05.2025 12:07:00";"452";"10";""
"Invoice_2024_1001.zip";"C:\share\Job7\Abteilung-Talent-Development\Abteilung-Talent-Development-Digital-Transformation-Prozessdigitalisierung";".zip";"1479680";"22.04.2023 06:26:00";"04.07.2022 06:10:00";"30.04.2024 23:22:00";"139";"5";""
"Annual_Report_2024.tar.gz";"C:\share\Job10\Team-Recruiting-Ops\People-und-Culture-Talent-Acquisition";".gz";"1454080";"19.06.2019 22:52:00";"17.12.2016 19:06:00";"22.05.2025 17:34:00";"98";"5";""
"Employee_Resume_Smith.tar.gz";"C:\share\Job9\Team-Azure\Team-Azure-Technologie-Network-Engineering";".gz";"1393664";"15.12.2017 17:50:00";"30.10.2017 15:32:00";"29.06.2023 09:50:00";"96";"5";""
"Employee_Resume_Smith.tar.gz";"C:\share\Job4\Bereich-Marketing\Data-und-Analytics-BI-KI-Governance";".gz";"1293312";"19.12.2024 07:36:00";"24.06.2024 02:45:00";"28.06.2025 15:04:00";"96";"5";""
"Invoice_2024_1001.tar.gz";"C:\share\Job9\Team-Linux\People-und-Culture-Learning-und-Development";".gz";"1212416";"10.12.2023 21:43:00";"10.01.2022 00:33:00";"17.05.2024 23:57:00";"93";"5";""
"Annual_Report_2024.zip";"C:\share\Job3\Bereich-Network-Engineering\Technologie-IT-Operations\UX-Lab-Usability-Tests-Designprototypen-Dashboard-Mockup\Personal-Mitarbeiter-Auszubildende-Schulung-Leadership-Development-Teilnahmebestaetigung\Key-Account-Management-Grosskundenbetreuung-Mueller-GmbH\Datenschutz-DSGVO-Verzeichnis-Verarbeitungstaetigkeiten-HR-Dokumentation\Product-Management-Produktstrategie-Roadmap-Backlog-Premium-Suite\Sales-Operations-CRM-Kundenmanagement-SMB\Risk-Management-Risikobewertung-Audits-Cyber-Risk";".zip";"1147904";"06.01.2020 02:38:00";"21.07.2019 03:19:00";"16.09.2021 17:44:00";"524";"12";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job5\Bereich-Facility-und-Workplace\Technologie-Softwareentwicklung";".gz";"1024000";"09.06.2019 16:51:00";"31.12.2018 03:52:00";"18.05.2023 19:30:00";"107";"5";""
"Project_KAM-Alpha_Scope.tar.gz";"C:\share\Job8\Abteilung-Training-und-Awareness\Vertrieb-und-Marketing-Kampagnen\UX-UI-Design-Designsysteme-Nutzererfahrung-Mobile-Redesign\HR-Admin-Team-Vertragsverwaltung-Datenpflege-Fuehrungskraefte\Risk-Management-Risikobewertung-Audits-Compliance-Risk\Network-Team-Routing-Firewall-VPN-DMZ\Compliance-Audit-Internes-Audit-2022-Nachweise-Korrekturmassnahmen-Dokumentation\Infrastructure-Services-Server-Storage-Netzwerke-Entwicklungsserver";".gz";"1024000";"26.07.2023 12:06:00";"10.11.2022 08:16:00";"05.11.2024 17:10:00";"473";"11";""
"Annual_Report_2024.tar.gz";"C:\share\Job8\Abteilung-QA-und-Testing\Abteilung-QA-und-Testing-Technologie-Softwareentwicklung\Finance-Reporting-Team-Finanzberichte-Dashboards-FY-2024\Employer-Branding-Karriereportal-Social-Media-Hochschulmarketing\Legal-Review-Team-Vertragspruefung-Dokumentation-NDA\IT-Projekt-Data-Warehouse-Phase-Implementation-Technische-Spezifikation-Testing";".gz";"1022976";"09.08.2024 07:03:00";"08.01.2023 09:30:00";"28.05.2025 17:33:00";"376";"9";""
"Employee_Meyer_John_Resume.zip";"C:\share\Job9\Team-Finance-Reporting\Betrieb-und-Projekte-Prozessmanagement";".zip";"1022976";"14.08.2025 00:00:00";"21.06.2025 21:30:00";"20.09.2025 17:23:00";"106";"5";""
"RnD_Prototype_Neptune_v1.0.tar.gz";"C:\share\Job10\Team-Governance\Team-Governance-Technologie-Cloud-und-Infrastruktur";".gz";"1022976";"02.05.2025 19:30:00";"02.11.2023 12:45:00";"12.08.2025 07:47:00";"116";"5";""
