id,name,path,size,quickXorHash,sensitivityLabelId,sensitivityLabelName,createdDateTime,lastModifiedDateTime
013YKIC6EUYUIY3L2QYRLI7TAEJGKIOKCM,Budget_Plan_Legal_FY2023.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Budget_Plan_Legal_FY2023.docx,18684,bHXj3F5ngvKiVYFGKcWloVNXrrk=,,Confidential \ All Employees,2017-04-12T09:09:00Z,2021-04-30T09:39:00Z
013YKIC6BTJNDTIQGI2ZNJSSXHL7SG3FRB,Compliance_Report_GDPR_2025.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Compliance_Report_GDPR_2025.pdf,71680,uY+N0+3l78yC/KuSqaGum2UpP4k=,,,2022-04-27T10:58:00Z,2024-12-21T04:24:00Z
013YKIC6ACBB4YNNV47ZKI53PJ4UMVKJYC,Compliance_Report_ISO27001_2022.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Compliance_Report_ISO27001_2022.tar.gz,27648,gOj7rf7l6ufQtFFFIFL/c1KMJjQ=,,,2023-11-30T13:38:00Z,2024-09-06T03:30:00Z
013YKIC6D4DEE3KPNPHFOITAOMC2U5EWKO,Customer_Contract.docx,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Customer_Contract.docx,19593,kRixevb2O1AevXWkSSzdF0OSdcM=,,Confidential \ All Employees,2022-04-27T10:58:00Z,2024-12-21T04:24:00Z
013YKIC6EJCG5Z2H6T2RNZ7OCIBGDAYD7Y,Customer_Contract.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Customer_Contract.pdf,265216,tmuSYppzWH/1RvbMASpzsk0rxNk=,,,2020-06-26T02:20:00Z,2021-03-03T18:38:00Z
013YKIC6HT2GJKAWYXANMK7E53KFLYR6SM,Employee_Resume_Smith.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Employee_Resume_Smith.tar.gz,564224,HAgYb+YUTudlCXyYAWixdBsbcGg=,,,2025-04-02T02:20:00Z,2025-12-08T18:38:00Z
013YKIC6AZ3GPRYLML6ZPZDW36LYCJTROV,Meeting_Minutes_Review_2024-01-15.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Meeting_Minutes_Review_2024-01-15.pdf,397312,LViNrxP+0FXFNyHPvJI8aQJpz9c=,,,2022-08-25T19:27:00Z,2024-06-18T22:31:00Z
013YKIC6CMKAFPZRA5PFKL6VK3IFK4IP4X,Operations_SOP_SOP045.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Operations_SOP_SOP045.tar.gz,41984,PxHLbUhMD88t4kNoDs5ziLlgkSw=,,,2025-11-06T23:37:00Z,2026-02-20T08:49:00Z
013YKIC6E4WDWNM4Y765JLIAETHLA7VLHP,RnD_Prototype_Orion_alpha.pdf,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/RnD_Prototype_Orion_alpha.pdf,226304,1QgI2/kElb1aYuA+Pf+4bIibSRg=,,,2016-04-21T12:49:00Z,2023-08-18T08:45:00Z
013YKIC6HWN25MNNUF2FK3Q2GCNSYT6OVG,Support_Case_CASE042_Critical.tar.gz,/drives/b!47z2fa2kOE-nHqWpGUu8yVsbnC4KYSFDnwdNPUJEe0bcXpVu_FG2SJXMRn1vb2k0/root:/JOB1/01-CEO-Gesamtleitung-und-Strategie/People-und-Culture-Learning-und-Development/Support_Case_CASE042_Critical.tar.gz,939008,RdYwoMNAyE96MYL2Ayj5tzy0qoc=,,,2023-09-18T02:20:00Z,2024-05-25T17:38:00Z
